"Car Registration",Make,Model,Colour,Fuel
"AD58 LDR",Mercedes,"C Class",Silver,Petrol
"B640 BBJ",Peugeot,106,Red,Petrol
"DF66 ORT",Citreon,Saxo,Mustard,Petrol
"DP67 IOA",Peugeot,3008,Black,Petrol
"FL61 JER",Ford,Mustang,Yellow,Petrol
"GL65 DOW",Suzuki,GSX100,Blue,Petrol
"HJ66 NSF",Renault,Clio,Blue,Petrol
"JM13 LKO",Hyundai,i10,Black,Petrol
"JW18 HSV",Nissan,Micra,Red,Petrol
"KR09 RVN",Kia,C'eed,White,Petrol
"LD57 RTE",Audi,A4,Grey,Petrol
"NDJ64 XYZ",Fiat,500,White,Petrol
"NHZ 6842",Seat,Ibiza,Black,Petrol
"NI55 SAN",Nissan,Juke,Yello,Petrol
"NJ13 LXX",Ford,Fiesta,Blue,Petrol
"QO59 OTL",BMW,"Coupe 3",Black,Petrol
"RB65 ROB",Seat,Cupra,Black,Petrol
"RB66 OLP",Audi,A1,White,petrol
"SN18 DDF",Hyundai,i20,Green,Petrol
"TR10 NNB",Renault,Megane,Blue,Petrol
"WE66 AFG",BMW,135i,Grey,Petrol
X201JKL,Jeep,Compass,Orange,Petrol
"XL13 PSR",Mini,Cooper,Red,Petrol
